Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree
Tree,Wings,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Honey,Tree
Tree,Grass,Water,Water,Grass,Grass,Wasp,Grass,Grass,Tree,Grass,Flower,Grass,Grass,Grass,Flower,Grass,Tree,Grass,Tree
Tree,Grass,Water,Water,Grass,Grass,Grass,Grass,Grass,Tree,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Wasp,Tree
Tree,Grass,Grass,Grass,Grass,Building,Grass,Grass,Grass,Tree,Grass,Grass,Flower,Grass,Grass,Flower,Grass,Tree,Grass,Tree
Tree,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Ladybug,Ladybug,Ladybug,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Tree,Grass
Tree,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Building,Grass,Grass,Tree,Water,Flower
Tree,Water,Grass,Tree,Tree,Tree,Grass,Flower,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Tree,Wings,Honey
Tree,Water,Grass,Tree,Tree,Tree,Grass,Grass,Grass,Tree,Tree,Tree,Tree,Water,Water,Water,Water,Water,Water,Tree,Ladybug,Wasp
Tree,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Building
Tree,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree
Tree,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Grass,Building,Grass,Grass,Bird,Grass,Tree
Tree,Water,Water,Water,Water,Water,Grass,Building,Grass,Grass,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree
Tree,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Wings,Grass,Grass,Grass,Tree,Tree,Tree,Tree,Tree
Tree,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Tree,Tree,Tree,Grass,Grass,Tree
Tree,Water,Water,Water,Grass,Grass,Grass,Wasp,Grass,Tree,Tree,Tree,Tree,Tree,Tree,Grass,Grass,Grass,Flower,Tree
Tree,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Tree,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree
Tree,Grass,Grass,Grass,Tree,Grass,Grass,Water,Grass,Tree,Grass,Grass,Flower,Grass,Grass,Grass,Building,Grass,Grass,Tree
Tree,Wings,Grass,Grass,Grass,Grass,Grass,Water,Grass,Ladybug,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Tree
Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Tree
