Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
Water,Water,Ladybug,Grass,Grass,Building,Grass,Grass,Grass,Water,Water,Water,Water,Building,Grass,Grass,Grass,Tree,Tree,Water
Water,Water,Grass,Tree,Tree,Tree,Tree,Tree,Grass,Water,Tree,Wings,Grass,Grass,Grass,Grass,Grass,Bird,Tree,Water
Water,Water,Grass,Grass,Wasp,Grass,Grass,Grass,Grass,Wasp,Grass,Grass,Water,Water,Water,Water,Grass,Grass,Flower,Water
Water,Water,Grass,Grass,Grass,Grass,Flower,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Water
Water,Water,Water,Wings,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Water,Water,Water
Water,Water,Grass,Grass,Water,Water,Flower,Grass,Grass,Wings,Water,Ladybug,Grass,Flower,Grass,Grass,Building,Water,Water,Water
Water,Building,Grass,Wasp,Grass,Grass,Grass,Water,Water,Wasp,Grass,Flower,Water,Water,Water,Water,Grass,Water,Water,Water
Water,Grass,Tree,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Water,Water,Water
Water,Grass,Water,Water,Water,Bird,Tree,Water,Water,Water,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Water
Water,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Grass,Grass,Tree,Tree,Grass,Grass,Water
Water,Wasp,Grass,Grass,Wasp,Grass,Wasp,Honey,Water,Water,Water,Water,Water,Flower,Grass,Tree,Tree,Grass,Wings,Water
Water,Tree,Tree,Tree,Tree,Tree,Tree,Tree,Building,Water,Water,Water,Water,Grass,Grass,Wasp,Tree,Grass,Grass,Water
Water,Grass,Grass,Grass,Grass,Ladybug,Grass,Grass,Grass,Grass,Grass,Ladybug,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water
Water,Grass,Grass,Flower,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Flower,Water,Water,Water,Grass,Wings,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Tree,Water,Water,Water,Grass,Grass,Water,Water
Water,Water,Water,Water,Grass,Tree,Tree,Grass,Water,Water,Water,Water,Building,Water,Water,Water,Grass,Ladybug,Water,Water
Water,Honey,Water,Water,Grass,Grass,Grass,Building,Water,Water,Water,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Water,Water
Water,Grass,Grass,Wasp,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Wasp,Grass,Grass,Tree,Water,Water,Water,Water,Water
Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
